UK-AIR ID,EU Site ID,EMEP Site ID,lookupvalue_data,lookup_settelment,Site Name,Environment Type,Zone,Start Date,End Date,Latitude,Longitude,Northing,Easting,Altitude (m),Networks,AURN Pollutants Measured,Site Description
FFAR,,,Angus Forfar,Angus,Angus Forfar (Angus),Urban Traffic,North East Scotland,12/07/2007,31/12/2012,56.644194,-2.883531,750613,345914,,Locally-managed automatic monitoring,,
AFR1,,,Angus Forfar Glamis Rd,Angus,Angus Forfar Glamis Rd (Angus),Urban Traffic,North East Scotland,23/10/2015,,56.642076,-2.894328,750386,345249,,Locally-managed automatic monitoring,,
ANT1,,,Antrim Greystone Estate,Antrim and Newtownabbey,Antrim Greystone Estate (Antrim and Newtownabbey),Urban Background,,25/11/2004,18/06/2010,54.7099,-6.188552,386158.81,316802.88,,Locally-managed automatic monitoring,,
ARDS,,,Ards Glen community centre,Ards and North Down,Ards Glen community centre (Ards and North Down),Urban Background,,01/03/2003,10/04/2006,54.599072,-5.699291,374748.7,348736.82,,Locally-managed automatic monitoring,,
ARD2,,,Ards Leisure Centre,Ards and North Down,Ards Leisure Centre (Ards and North Down),Urban Background,,11/04/2006,25/10/2011,54.597019,-5.703319,374511.71,348484.02,,Locally-managed automatic monitoring,,
ARM2,,,Armagh,"Armagh, Banbridge and Craigavon","Armagh (Armagh, Banbridge and Craigavon)",Not Available,,01/01/1999,31/12/1999,54.34214,-6.65771,344544.32,287347.41,,Locally-managed automatic monitoring,,
ARM4,,,Armagh Dobbin Street,"Armagh, Banbridge and Craigavon","Armagh Dobbin Street (Armagh, Banbridge and Craigavon)",Urban Background,,18/02/2003,17/03/2005,54.353345,-6.651961,345798.64,287697.43,,Locally-managed automatic monitoring,,
ARM5,,,Armagh Lonsdale Road,"Armagh, Banbridge and Craigavon","Armagh Lonsdale Road (Armagh, Banbridge and Craigavon)",Urban Traffic,,01/01/2005,31/12/2008,54.353728,-6.654558,345838.04,287527.77,,Locally-managed automatic monitoring,,
ARM3,,,Armagh Shambles Yard,"Armagh, Banbridge and Craigavon","Armagh Shambles Yard (Armagh, Banbridge and Craigavon)",Not Available,,01/12/1999,24/01/2000,54.34214,-6.65771,344544.32,287347.41,,Locally-managed automatic monitoring,,
ZA3,,,Ashford Background,Ashford,Ashford Background (Ashford),Urban Background,South East,21/09/2008,07/04/2011,51.1489,0.8789,142789.07,601448.4,,Locally-managed automatic monitoring,,
ZA4,,,Ashford M20 Background,Ashford,Ashford M20 Background (Ashford),Urban Background,South East,13/10/2009,10/11/2010,51.141914,0.906536,142088.42,603411.63,,Locally-managed automatic monitoring,,
ZA2,,,Ashford Roadside,Ashford,Ashford Roadside (Ashford),Urban Traffic,South East,17/01/2002,18/09/2008,51.149702,0.876227,142871,601258,,Locally-managed automatic monitoring,,
ZA1,,,Ashford Rural,Ashford,Ashford Rural (Ashford),Rural Background,South East,29/04/1998,18/01/2001,51.174326,0.75345,145280,592570,,Locally-managed automatic monitoring,,
AH,,,Aston Hill,Powys,Aston Hill (Powys),Rural Background,North Wales,26/06/1986,20/10/2003,52.50385,-3.034178,290053,329899,,Locally-managed automatic monitoring,,
ACTH,,,Auchencorth Moss,Midlothian,Auchencorth Moss (Midlothian),Rural Background,Central Scotland,01/01/2006,31/10/2006,55.79216,-3.2429,656128.11,322165.87,,Locally-managed automatic monitoring,,
AYL9,,,Aylesbury Bicester Road,Aylesbury Vale,Aylesbury Bicester Road (Aylesbury Vale),Urban Traffic,South East,04/10/2007,18/03/2010,51.824336,-0.831856,214613.25,480605.05,,Locally-managed automatic monitoring,,
AYL7,,,Aylesbury Friarage Road 2,Aylesbury Vale,Aylesbury Friarage Road 2 (Aylesbury Vale),Urban Traffic,South East,06/07/2010,18/12/2013,51.816897,-0.818442,213800.81,481542.92,,Locally-managed automatic monitoring,,
AYL8,,,Aylesbury Stoke Road A413,Aylesbury Vale,Aylesbury Stoke Road A413 (Aylesbury Vale),Urban Traffic,South East,02/03/2006,14/05/2014,51.810183,-0.806675,213067.31,482366.23,,Locally-managed automatic monitoring,,
AYT0,,,Aylesbury Tring Road 2,Aylesbury Vale,Aylesbury Tring Road 2 (Aylesbury Vale),Urban Traffic,South East,18/12/2013,31/01/2016,51.814165,-0.786939,213532,483719,,Locally-managed automatic monitoring,,
AYLW,,,Aylesbury Waddesdon,Aylesbury Vale,Aylesbury Waddesdon (Aylesbury Vale),Urban Traffic,South East,25/06/2012,14/02/2013,51.845601,-0.926102,216878,474075,,Locally-managed automatic monitoring,,
AY1,,,Aylesbury Walton Street 2,Aylesbury Vale,Aylesbury Walton Street 2 (Aylesbury Vale),Urban Traffic,South East,14/05/2014,20/06/2017,51.812443,-0.808084,213317.07,482264.99,,Locally-managed automatic monitoring,,
AYL1,,,Aylesbury Winslow High St Roadside,Aylesbury Vale,Aylesbury Winslow High St Roadside (Aylesbury Vale),Urban Traffic,South East,05/12/2008,01/10/2010,51.943611,-0.881389,227825.34,476987.61,,Locally-managed automatic monitoring,,
BALY,,,Ballymena Ballykeel,Mid and East Antrim,Ballymena Ballykeel (Mid and East Antrim),Urban Background,,01/04/2003,,54.861595,-6.250873,402941.48,312365.14,,Locally-managed automatic monitoring,,
BALN,,,Ballymena North Road,Mid and East Antrim,Ballymena North Road (Mid and East Antrim),Urban Traffic,,01/03/2003,30/09/2015,54.863252,-6.277772,403083.11,310633.51,,Locally-managed automatic monitoring,,
BMON,,,Ballymoney Glebeside Estate,Causeway Coast and Glens,Ballymoney Glebeside Estate (Causeway Coast and Glens),Urban Background,,01/01/2004,11/02/2010,55.075312,-6.5088,426348.04,295296.98,,Locally-managed automatic monitoring,,
BANB,,,Banbury Hennef Way,Cherwell,Banbury Hennef Way (Cherwell),Urban Background,South East,07/05/2009,16/04/2012,52.075722,-1.326194,242142.83,446277.02,,Locally-managed automatic monitoring,,
BG3,,,Barking and Dagenham - North Street,Barking and Dagenham,Barking and Dagenham - North Street (Barking and Dagenham),Urban Traffic,Greater London Urban Area,11/04/2007,24/05/2011,51.540444,0.074418,184432.98,543957.34,,Locally-managed automatic monitoring,,
BG1,,,Barking and Dagenham - Rush Green,Barking and Dagenham,Barking and Dagenham - Rush Green (Barking and Dagenham),Suburban Background,Greater London Urban Area,22/03/2000,,51.563752,0.177891,187233.37,551055.24,,Locally-managed automatic monitoring,,
BG2,,,Barking and Dagenham - Scrattons Farm,Barking and Dagenham,Barking and Dagenham - Scrattons Farm (Barking and Dagenham),Suburban Background,Greater London Urban Area,23/10/1999,,51.529389,0.132857,183320.2,548045.51,,Locally-managed automatic monitoring,,
BN3,,,Barnet - Strawberry Vale ,Barnet,Barnet - Strawberry Vale  (Barnet),Urban Background,Greater London Urban Area,15/08/2000,15/05/2002,51.600885,-0.172298,190698.01,526681.04,,Locally-managed automatic monitoring,,
BN2,,,Barnet Chalgrove School,Barnet,Barnet Chalgrove School (Barnet),Urban Background,Greater London Urban Area,09/08/2000,,51.591901,-0.205992,189641,524372,,Locally-managed automatic monitoring,,
BN1,,,Barnet Tally Ho,Barnet,Barnet Tally Ho (Barnet),Urban Traffic,Greater London Urban Area,20/12/1998,,51.614675,-0.176607,192224,526344,,Locally-managed automatic monitoring,,
BAR6,,,Barnsley A628 Pogmoor Roadside,Barnsley,Barnsley A628 Pogmoor Roadside (Barnsley),Urban Traffic,Yorkshire & Humberside,01/01/2004,26/08/2021,53.551177,-1.50816,406173,432684,,Locally-managed automatic monitoring,,
BAR11,,,Barnsley A628 Roadside Site 2,Barnsley,Barnsley A628 Roadside Site 2 (Barnsley),Suburban Background,Yorkshire & Humberside,26/08/2021,,53.550392,-1.509678,406085,432584,,Locally-managed automatic monitoring,,
BAR9,,,Barnsley A635 Kendray Roadside,Barnsley,Barnsley A635 Kendray Roadside (Barnsley),Urban Traffic,Yorkshire & Humberside,10/11/2009,,53.546658,-1.453859,405696.5,436285.5,,Locally-managed automatic monitoring,,
BAR5,,,Barnsley Royston,Barnsley,Barnsley Royston (Barnsley),Urban Industrial,Yorkshire & Humberside,01/01/2003,31/03/2015,53.600278,-1.439444,411669.34,437193.7,,Locally-managed automatic monitoring,,
BA1,,,Basildon - Gloucester Park,Basildon,Basildon - Gloucester Park (Basildon),Urban Traffic,Eastern,19/03/2000,28/12/2009,51.578729,0.450608,189497.01,569900.06,,Locally-managed automatic monitoring,,
HB100,,,Bedford Kempston,Bedford,Bedford Kempston (Bedford),Urban Industrial,Eastern,01/10/2006,11/08/2009,52.105278,-0.5,246277.19,502831.11,,Locally-managed automatic monitoring,,
HB010,,,Bedford Lurke Street,Bedford,Bedford Lurke Street (Bedford),Urban Traffic,Eastern,01/05/2010,,52.138153,-0.46663,249981.25,505039.23,,Locally-managed automatic monitoring,,
HB011,,,Bedford Prebend Street,Bedford,Bedford Prebend Street (Bedford),Urban Traffic,Eastern,06/01/2009,,52.135049,-0.474658,249624.45,504497.09,,Locally-managed automatic monitoring,,
HB101,,,Bedford Stewartby,Bedford,Bedford Stewartby (Bedford),Rural Background,Eastern,16/11/2000,01/02/2009,52.071111,-0.512778,242459.18,502033.82,,Locally-managed automatic monitoring,,
BE1,,,Belfast Clara St,Local Authority Belfast,Belfast Clara St (Local Authority) (Belfast),Suburban Background,Belfast Metropolitan Urban Area,23/02/2009,31/03/2010,54.591291,-5.895113,373485.92,336109.29,,Locally-managed automatic monitoring,,
BEL5,,,Belfast Newtownards Road,Belfast,Belfast Newtownards Road (Belfast),Urban Traffic,,01/04/2002,,54.595175,-5.867022,373973,337912,,Locally-managed automatic monitoring,,
BEL0,,,Belfast Ormeau Road,Belfast,Belfast Ormeau Road (Belfast),Urban Traffic,,24/05/2006,,54.587516,-5.92378,373010.64,334268.93,,Locally-managed automatic monitoring,,
BEL1,,,Belfast Stockman's Lane,Belfast,Belfast Stockman's Lane (Belfast),Urban Traffic,,13/04/2006,06/06/2014,54.572586,-5.974944,371252.45,331009.69,,Locally-managed automatic monitoring,,
BEL8,,,Belfast Westlink,Belfast,Belfast Westlink (Belfast),Not Available,,04/04/2002,01/03/2006,54.59985,-5.928833,374373.73,333901.84,,Locally-managed automatic monitoring,,
BE2,,,Belfast Westlink Roden Street,Belfast,Belfast Westlink Roden Street (Belfast),Urban Traffic,Belfast Metropolitan Urban Area,03/03/2010,,54.591753,-5.949517,373433.35,332591.59,,Locally-managed automatic monitoring,,
BX5,,,Bexley - Bedonwell ,Bexley,Bexley - Bedonwell  (Bexley),Suburban Background,Greater London Urban Area,06/10/1999,07/04/2004,51.478802,0.133874,177697.06,548280.05,,Locally-managed automatic monitoring,,
BX2,,,Bexley - Belvedere,Bexley,Bexley - Belvedere (Bexley),Suburban Background,Greater London Urban Area,24/01/1998,,51.49061,0.158914,179061.05,549980.05,,Locally-managed automatic monitoring,,
BX0,,,Bexley - Belvedere FDMS,Bexley,Bexley - Belvedere FDMS (Bexley),Suburban Background,Greater London Urban Area,28/04/2004,,51.49061,0.158914,179061.05,549980.05,,Locally-managed automatic monitoring,,
BQ7,,,Bexley - Belvedere West,Bexley,Bexley - Belvedere West (Bexley),Urban Background,Greater London Urban Area,27/08/2010,,51.494649,0.137279,179466.05,548465.05,,Locally-managed automatic monitoring,,
BQ8,,,Bexley - Belvedere West FDMS,Bexley,Bexley - Belvedere West FDMS (Bexley),Urban Background,Greater London Urban Area,25/08/2010,,51.494649,0.137279,179466.05,548465.05,,Locally-managed automatic monitoring,,
BX4,,,Bexley - Erith,Bexley,Bexley - Erith (Bexley),Urban Industrial,Greater London Urban Area,03/05/1999,19/12/2014,51.477671,0.190836,177688.06,552239.05,,Locally-managed automatic monitoring,,
BX7,,,Bexley - Thames Road North,Bexley,Bexley - Thames Road North (Bexley),Urban Traffic,Greater London Urban Area,08/04/2004,23/03/2010,51.457159,0.195294,175416.46,552616.98,,Locally-managed automatic monitoring,,
BX6,,,Bexley - Thames Road North FDMS,Bexley,Bexley - Thames Road North FDMS (Bexley),Urban Traffic,Greater London Urban Area,08/04/2004,23/03/2010,51.457159,0.195294,175416.46,552616.98,,Locally-managed automatic monitoring,,
BX8,,,Bexley - Thames Road South,Bexley,Bexley - Thames Road South (Bexley),Urban Traffic,Greater London Urban Area,06/04/2004,15/04/2010,51.456887,0.194582,175384.74,552568.42,,Locally-managed automatic monitoring,,
BX3,,,Bexley - Thamesmead,Bexley,Bexley - Thamesmead (Bexley),Suburban Background,Greater London Urban Area,24/01/1998,12/03/2018,51.510808,0.121617,181231.33,547325.82,,Locally-managed automatic monitoring,,
BAI2,,,Birmingham Airport 2,Solihull,Birmingham Airport 2 (Solihull),Suburban Industrial,West Midlands Urban Area,10/01/2006,,52.455719,-1.743912,284227.07,417499.01,,Locally-managed automatic monitoring,,
BOL03,,,Bolton A579 Derby Street,Bolton,Bolton A579 Derby Street (Bolton),Urban Traffic,Greater Manchester Urban Area,20/10/2020,,53.573002,-2.435176,408577,371280,,Locally-managed automatic monitoring,,
BOS2,,,Boston Haven Bridge Road,Boston,Boston Haven Bridge Road (Boston),Urban Traffic,East Midlands,21/07/2004,17/01/2012,52.974256,-0.026847,343699.41,532591.75,,Locally-managed automatic monitoring,,
WIL1,,,"Bradford-on-Avon, Masons Lane",Wiltshire,"Bradford-on-Avon, Masons Lane (Wiltshire)",Urban Traffic,South West,01/06/2014,,51.348788,-2.252262,161108.99,382527.98,,Locally-managed automatic monitoring,,
BRE01,,,Breckland East Wretham,Breckland,Breckland East Wretham (Breckland),Rural Background,Eastern,01/01/2003,,52.462778,0.814722,288706.57,591316.19,,Locally-managed automatic monitoring,,
BRE02,,,Breckland Swaffham,Breckland,Breckland Swaffham (Breckland),Rural Traffic,Eastern,16/01/2009,,52.643375,0.689958,308466.79,582092.9,,Locally-managed automatic monitoring,,
BT8,,,Brent - ARK Franklin Primary Academy,Brent,Brent - ARK Franklin Primary Academy (Brent),Not Available,Greater London Urban Area,30/10/2017,,51.532405,-0.217719,183005.04,523721.04,,Locally-managed automatic monitoring,,
BT3,,,Brent - Harlesden,Brent,Brent - Harlesden (Brent),Urban Traffic,Greater London Urban Area,31/10/2001,27/09/2006,51.53708,-0.249273,183472.04,521520.04,,Locally-managed automatic monitoring,,
BT4,,,Brent - Ikea,Brent,Brent - Ikea (Brent),Urban Traffic,Greater London Urban Area,20/06/2003,,51.552476,-0.258089,185169.57,520867.9,,Locally-managed automatic monitoring,,
BT2,,,Brent - Ikea Car Park,Brent,Brent - Ikea Car Park (Brent),Urban Traffic,Greater London Urban Area,23/06/2001,04/09/2002,51.552433,-0.260339,185161.03,520712.04,,Locally-managed automatic monitoring,,
BT6,,,Brent - John Keble Primary School,Brent,Brent - John Keble Primary School (Brent),Urban Traffic,Greater London Urban Area,20/11/2006,,51.537799,-0.247793,183554.45,521620.8,,Locally-managed automatic monitoring,,
BT5,,,Brent - Neasden Lane,Brent,Brent - Neasden Lane (Brent),Urban Industrial,Greater London Urban Area,01/03/2004,,51.552656,-0.248774,185205,521513.21,,Locally-managed automatic monitoring,,
BT7,,,Brent - St Marys Primary School,Brent,Brent - St Marys Primary School (Brent),Urban Background,Greater London Urban Area,12/02/2008,20/12/2010,51.534718,-0.196664,183297.99,525175.03,,Locally-managed automatic monitoring,,
BW1,,,Brentwood - Brentwood Town Hall,Brentwood,Brentwood - Brentwood Town Hall (Brentwood),Urban Background,Eastern,08/08/1995,30/10/2017,51.618686,0.307746,193617.97,559862.07,,Locally-managed automatic monitoring,,
BECR,,,Bridgend Ewenny Cross Roundabout,Bridgend,Bridgend Ewenny Cross Roundabout (Bridgend),Urban Traffic,South Wales,01/02/2011,31/12/2011,51.495407,-3.577778,178566,290568,,Locally-managed automatic monitoring,,
BEPS1,,,Bridgend Park Street,Bridgend,Bridgend Park Street (Bridgend),Urban Traffic,South Wales,21/12/2020,,51.505534,-3.585733,179704,290040,,Locally-managed automatic monitoring,,
BH7,,,Brighton Mobile,Gloucester Road Brighton and Hove,Brighton Mobile (Gloucester Road) (Brighton and Hove),Urban Traffic,Brighton/Worthing/Littlehampton,26/09/2006,14/06/2007,50.827223,-0.141705,104721.32,530975.05,,Locally-managed automatic monitoring,,
BH6,,,Brighton Mobile,Lewes Road Brighton and Hove,Brighton Mobile (Lewes Road) (Brighton and Hove),Urban Traffic,Brighton/Worthing/Littlehampton,13/09/2005,29/07/2006,50.836445,-0.125092,105776.32,532119.05,,Locally-managed automatic monitoring,,
BH5,,,Brighton Mobile,Preston Fire Station Brighton and Hove,Brighton Mobile (Preston Fire Station) (Brighton and Hove),Urban Traffic,Brighton/Worthing/Littlehampton,01/03/2005,22/08/2005,50.833534,-0.138188,105429.32,531205.05,,Locally-managed automatic monitoring,,
BH9,,,Brighton and Hove - Beaconsfield Road,Brighton and Hove,Brighton and Hove - Beaconsfield Road (Brighton and Hove),Urban Traffic,Brighton/Worthing/Littlehampton,03/02/2011,01/07/2012,50.837948,-0.140896,105915.32,531002.05,,Locally-managed automatic monitoring,,
BH8,,,Brighton and Hove - Stanmer Park,Brighton and Hove,Brighton and Hove - Stanmer Park (Brighton and Hove),Rural Background,South East,09/04/2010,10/04/2017,50.870184,-0.10475,109564.3,533455.05,,Locally-managed automatic monitoring,,
HF1,,,Broadway,Hammersmith and Fulham,Broadway (Hammersmith and Fulham),Urban Traffic,Greater London Urban Area,23/08/1999,01/11/2008,51.492766,-0.223601,178587,523420,,Locally-managed automatic monitoring,,
BY5,,,Bromley - Biggin Hill,Bromley,Bromley - Biggin Hill (Bromley),Suburban Background,South East,18/04/1996,09/07/2010,51.314562,0.042019,159251.78,542410.78,,Locally-managed automatic monitoring,,
BY1,,,Bromley - Rent Office,Bromley,Bromley - Rent Office (Bromley),Urban Background,Greater London Urban Area,01/01/1993,11/01/1996,51.413234,0.007215,170157.08,539685.05,,Locally-managed automatic monitoring,,
BY4,,,Bromley - Tweedy Rd,Bromley,Bromley - Tweedy Rd (Bromley),Urban Traffic,Greater London Urban Area,28/01/1996,06/07/1998,51.403835,0.02039,169137.09,540630.05,,Locally-managed automatic monitoring,,
HF2,,,Brook Green,Hammersmith and Fulham,Brook Green (Hammersmith and Fulham),Urban Background,Greater London Urban Area,28/07/2003,20/01/2009,51.496496,-0.220503,179007,523625,,Locally-managed automatic monitoring,,
HB102,,,Broxbourne,Broxbourne,Broxbourne (Broxbourne),Urban Traffic,Greater London Urban Area,13/09/2001,01/04/2009,51.683056,-0.0325,200087.14,536116.3,,Locally-managed automatic monitoring,,
BUR2,,,Bury Prestwich,Bury,Bury Prestwich (Bury),Urban Traffic,Greater Manchester Urban Area,18/09/2002,,53.524915,-2.277565,403174.76,381696.14,,Locally-managed automatic monitoring,,
BUR1,,,Bury Radcliffe,Bury,Bury Radcliffe (Bury),Urban Traffic,Greater Manchester Urban Area,01/09/2002,,53.563481,-2.330732,407480,378191,,Locally-managed automatic monitoring,,
CAER,,,Caerphilly,Caerphilly,Caerphilly (Caerphilly),Urban Background,South Wales,11/03/2004,09/06/2004,51.575433,-3.227965,187000,315000,,Locally-managed automatic monitoring,,
CAE5,,,Caerphilly Blackwood High Street,Caerphilly,Caerphilly Blackwood High Street (Caerphilly),Urban Traffic,South Wales,14/01/2009,,51.666667,-3.194919,197109,317456,,Locally-managed automatic monitoring,,
CAE8,,,Caerphilly Fochriw,Caerphilly,Caerphilly Fochriw (Caerphilly),Urban Traffic,South Wales,04/05/2012,,51.745386,-3.293822,205422,310452,,Locally-managed automatic monitoring,,
CAE10,,,Caerphilly Islwyn Road Wattsville,Caerphilly,Caerphilly Islwyn Road Wattsville (Caerphilly),Urban Traffic,South Wales,15/05/2017,,51.616057,-3.147261,191427,320663,,Locally-managed automatic monitoring,,
CAE2,,,Caerphilly Ton-y-Felin Roadside,Caerphilly,Caerphilly Ton-y-Felin Roadside (Caerphilly),Urban Traffic,South Wales,14/07/2004,04/05/2006,51.575433,-3.227965,187000,315000,,Locally-managed automatic monitoring,,
CAE3,,,Caerphilly Town Centre,Caerphilly,Caerphilly Town Centre (Caerphilly),Urban Traffic,South Wales,01/05/2007,18/11/2007,51.575433,-3.227965,187000,315000,,Locally-managed automatic monitoring,,
CAE4,,,Caerphilly White Street,Caerphilly,Caerphilly White Street (Caerphilly),Urban Traffic,South Wales,19/11/2007,,51.573962,-3.218084,186825,315682,,Locally-managed automatic monitoring,,
WIL8,,,Calne London Road,Wiltshire,Calne London Road (Wiltshire),Urban Traffic,South West,06/01/2016,16/09/2017,51.43534,-2.00255,170704.57,399919.34,,Locally-managed automatic monitoring,,
WIL2,,,"Calne, New Road",Wiltshire,"Calne, New Road (Wiltshire)",Urban Traffic,South West,01/06/2014,06/06/2015,51.435476,-2.00307,170719,399883,,Locally-managed automatic monitoring,,
WIL5,,,"Calne, New Road 2",Wiltshire,"Calne, New Road 2 (Wiltshire)",Urban Traffic,South West,14/01/2015,19/09/2017,51.436345,-2.004275,170816,399799,,Locally-managed automatic monitoring,,
CAM3,,,Cambridge Gonville Place,Cambridge,Cambridge Gonville Place (Cambridge),Urban Traffic,Eastern,25/08/1998,,52.199575,0.12774,257838.17,545512.96,,Locally-managed automatic monitoring,,
CAM5,,,Cambridge Montague Road,Cambridge,Cambridge Montague Road (Cambridge),Urban Traffic,Eastern,18/04/2007,,52.214201,0.136545,259482,546066,,Locally-managed automatic monitoring,,
CAM4,,,Cambridge Newmarket Road,Cambridge,Cambridge Newmarket Road (Cambridge),Urban Traffic,Eastern,09/05/2002,,52.20843,0.141521,258850.67,546425.59,,Locally-managed automatic monitoring,,
CAM1,,,Cambridge Parker Street,Cambridge,Cambridge Parker Street (Cambridge),Urban Traffic,Eastern,25/08/1998,,52.204608,0.125891,258394.2,545370.2,,Locally-managed automatic monitoring,,
KX004,,,Camden - Coopers Lane,Camden,Camden - Coopers Lane (Camden),Urban Industrial,Greater London Urban Area,01/07/2009,,51.533238,-0.129594,183250.19,529830.81,,Locally-managed automatic monitoring,,
CD009,,,Camden - Euston Road,Camden,Camden - Euston Road (Camden),Urban Traffic,Greater London Urban Area,29/01/2011,,51.527975,-0.128774,182666.38,529902.64,,Locally-managed automatic monitoring,,
CD010,,,Camden High Street,Camden,Camden High Street (Camden),Urban Traffic,Greater London Urban Area,24/05/2021,,51.540139,-0.143722,183992.7,528831.5,,Locally-managed automatic monitoring,,
ZY3,,,Canterbury Military Road,Canterbury,Canterbury Military Road (Canterbury),Urban Traffic,South East,01/10/2006,,51.281919,1.087316,158169,615401,,Locally-managed automatic monitoring,,
ZY2,,,Canterbury Roadside,Canterbury,Canterbury Roadside (Canterbury),Urban Traffic,South East,08/02/1999,07/04/2016,51.28374,1.071065,158324,614259,,Locally-managed automatic monitoring,,
ZY4,,,Canterbury St. Peters Place,Canterbury,Canterbury St. Peters Place (Canterbury),Urban Traffic,South East,30/07/2009,07/04/2016,51.279237,1.073676,157774.44,614585.68,,Locally-managed automatic monitoring,,
CAR3,,,Cardiff Briardene,Cardiff,Cardiff Briardene (Cardiff),Urban Traffic,Cardiff Urban Area,01/01/1998,16/05/2008,51.502222,-3.19659,178822,317041,,Locally-managed automatic monitoring,,
